Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR1059459,2/3/16,3/3/16,18633517,3763970434,18633517,202,2364,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059459,ERX1139610,MAGIC_75,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905561,SAMEA3598412,simple,4577,Zea mays,E-MTAB-3965:MAGIC_75,,,,,,,no,,,,,GATC biotech,ERA524061,,public,6D840ABB029309809B1CE608850A549B,5600EF7FF2A308DE3AF77FBD988CAB65
ERR1059460,2/3/16,3/3/16,21133760,4269019520,21133760,202,2690,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059460,ERX1139611,MAGIC_76,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905562,SAMEA3598413,simple,4577,Zea mays,E-MTAB-3965:MAGIC_76,,,,,,,no,,,,,GATC biotech,ERA524061,,public,DDA6137339473EC0F45BB674BF7A067F,A91042E6B49D779C349F9C85A9A31D5A
ERR1059461,2/3/16,3/3/16,22129526,4470164252,22129526,202,2816,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059461,ERX1139612,MAGIC_77,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905563,SAMEA3598414,simple,4577,Zea mays,E-MTAB-3965:MAGIC_77,,,,,,,no,,,,,GATC biotech,ERA524061,,public,20905FDC54BD639AB5988EC8929A11CB,47BDD908197E459C88776582B526EC9C
ERR1059462,2/3/16,2/3/16,16544633,3342015866,16544633,202,2249,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059462,ERX1139613,MAGIC_78,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905564,SAMEA3598415,simple,4577,Zea mays,E-MTAB-3965:MAGIC_78,,,,,,,no,,,,,GATC biotech,ERA524061,,public,20FE66AF1CA63AD4015CAD2C5F7CFB90,AC9B02E4B0C0907F9420D84F558231E8
ERR1059463,2/3/16,3/3/16,16458150,3324546300,16458150,202,2225,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059463,ERX1139614,MAGIC_79,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905565,SAMEA3598416,simple,4577,Zea mays,E-MTAB-3965:MAGIC_79,,,,,,,no,,,,,GATC biotech,ERA524061,,public,EA89AAF6454A1E656C2405F3EE26FE1B,4867656C436D0F96693C5DE6D428B43F
ERR1059464,2/3/16,3/3/16,17873615,3610470230,17873615,202,2329,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059464,ERX1139615,MAGIC_8,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905566,SAMEA3598417,simple,4577,Zea mays,E-MTAB-3965:MAGIC_8,,,,,,,no,,,,,GATC biotech,ERA524061,,public,E9BA256C3C5F98FC5A797129EA75F14D,917B7E35EE4DA0D9874EBBE67A7CC14D
ERR1059465,2/3/16,3/3/16,17102647,3454734694,17102647,202,2310,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059465,ERX1139616,MAGIC_80,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905567,SAMEA3598418,simple,4577,Zea mays,E-MTAB-3965:MAGIC_80,,,,,,,no,,,,,GATC biotech,ERA524061,,public,4031DBFFB830F7C57F5D4012B1F97666,421CBD06D1FDBCF076CF5E084F13EB98
ERR1059466,2/3/16,3/3/16,16206101,3273632402,16206101,202,2175,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059466,ERX1139617,MAGIC_81,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905568,SAMEA3598419,simple,4577,Zea mays,E-MTAB-3965:MAGIC_81,,,,,,,no,,,,,GATC biotech,ERA524061,,public,DA885AB5A6ED97F7F165D0E286D1E794,4C449FCBD6A576F5DDCBA9453A947C03
ERR1059467,2/3/16,3/3/16,18042171,3644518542,18042171,202,2429,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059467,ERX1139618,MAGIC_82,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905569,SAMEA3598420,simple,4577,Zea mays,E-MTAB-3965:MAGIC_82,,,,,,,no,,,,,GATC biotech,ERA524061,,public,E25E8CB26878271637B06BEB1E160D65,D5C4B95F838B47EF9A88C88FB294C5F8
ERR1059468,2/3/16,3/3/16,20347398,4110174396,20347398,202,2734,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059468,ERX1139619,MAGIC_83,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905570,SAMEA3598421,simple,4577,Zea mays,E-MTAB-3965:MAGIC_83,,,,,,,no,,,,,GATC biotech,ERA524061,,public,67CA58E4B4D9F70CCCDB11A71151F353,B2E1BA3524BD6BDA9AAE49BAA5EE5614
